代码,名称,行业,评级,总分,质量分,估值分,催化分,左侧分,最新价,涨跌幅,60日涨跌幅,年初至今涨跌幅,市盈率-动态,市净率,ROE,净利同比,营收同比,毛利率,预告类型,预告变动幅度,距60日高点,20日涨跌幅,快报净利同比,换手率,流通市值,红旗
600155,华创云信,证券Ⅱ,,66.21,35.4,42.35294117647059,100.0,100.0,5.88,-1.176,-1.5075376884422065,,73.5,0.651,0.16,178.34,27.0762769695,,预增,195.0,-8.268330733229334,4.812834224598928,,0.91395,13015629764.759998,疑似价值陷阱
600661,昂立教育,教育,,66.1,50.8,26.42857142857143,97.0,100.0,9.17,-2.55,2.229654403567438,,29.581,10.314,10.32,84.71,8.1537025213,45.6006996827,扭亏,2145.32,-10.623781676413255,17.113665389527455,,3.88778,2627652771.1000004,
601677,明泰铝业,工业金属,,66.09,9.025,96.71891327063742,76.8,100.0,16.28,-0.973,-8.462187236435192,,10.503,1.022,3.61,59.68,20.2169079241,9.8446225595,预增,63.0,-16.448550166794963,4.89690721649485,,1.69312,20240771407.56,
603390,通达电气,汽车零部件,,65.9,28.462436766928572,49.73816328106898,99.72,100.0,10.41,1.859,-26.793248945147685,,43.375,2.139,3.8,240.79,13.2769606036,36.5474114737,预增,148.95,-30.08730691739423,13.029315960912037,,1.92646,3654680006.88,
600446,金证股份,IT服务Ⅱ,,65.8,42.59602690764286,37.14814814814815,94.93333333333334,100.0,10.91,-1.088,-20.999275887038383,,-61.223,2.904,-1.37,48.5747358293,-11.312325588,34.6344376707,扭亏,142.25,-24.28868841082582,10.09081735620585,,1.75102,10269228195.89,
600884,杉杉股份,电池,,65.77,11.916834525983406,68.79406307977737,100.0,100.0,12.11,1.001,-16.251728907330577,,57.667,1.208,1.5,898.85,11.9853321946,18.8551164687,预增,298.0,-28.72277810476751,2.8887000849617595,,2.89241,22223179024.06,
603061,金海通,半导体,,65.66,62.217022414573556,40.49689440993788,95.47200000000001,65.0,333.22,-1.408,5.449367088607593,,109.252,16.974,4.94,221.54,120.7678149266,52.9587426253,预增,133.02,-36.2868068833652,9.162981162981175,,4.22455,28990140000.0,
603901,永创智能,专用设备,,65.65,26.927200296515874,68.02325581395348,82.26400000000001,100.0,9.67,0.207,-21.254071661237784,,33.345,1.894,2.43,75.26,11.6198052212,27.2049990229,预增,83.49,-25.27047913446677,3.866809881847466,,1.12063,5501254751.49,
300502,新易盛,通信设备,,65.64,61.3,52.927536231884055,84.06533333333334,65.0,448.08,4.229,11.028515357854364,,46.626,30.656,14.52,76.8,105.759481459,49.1609551491,预增,90.245,-26.603220363969925,-7.20675944333996,,3.095,562001274236.64,
603893,XD瑞芯微,半导体,,65.63,65.6999829000456,46.18012422360248,77.51466666666667,75.0,203.99,-1.521,9.731038192576658,,82.254,18.288,7.23,57.15,36.2152026238,43.0420245449,预增,65.68,-10.39708336993762,1.588645418326684,,2.93742,86306037304.5,
600362,江西铜业,工业金属,,65.54,33.525,58.913270637408566,83.02666666666667,100.0,44.61,0.564,4.034514925373123,,21.551,1.837,3.41,44.31,25.3876597686,5.0698916333,预增,86.35,-17.784740140066347,14.296694850115289,,1.93231,92576786737.05,
603969,银龙股份,通用设备,,65.51,17.106244503071427,89.52610794207986,72.0,100.0,7.26,3.272,-17.96610169491525,,16.884,2.235,2.34,-5.77,-4.1136361596,25.7587423043,预增,45.0,-27.035175879396977,2.2535211267605604,,2.45132,6182280588.0,
688052,纳芯微,半导体,,65.41,41.90671191342857,34.341614906832305,97.0,100.0,237.3,5.284,-0.2941176470588225,,-148.313,5.108,-0.47,30.3901017768,59.1715797002,33.6693966788,扭亏,185.89,-20.899999999999995,18.929484288076992,,3.2099,34031251613.1,
301297,富乐德,半导体,,65.32,19.719947477214284,77.32142857142857,80.284,100.0,35.54,2.895,-28.686090376434706,,56.413,4.549,1.79,46.26,2.6855655698,31.3429264681,预增,76.065,-44.1861926000377,0.8341372070589381,,2.56149,18773192591.14,
600120,浙江东方,多元金融,,65.17,29.375066809444444,54.965034965034974,90.47733333333333,100.0,5.02,-0.986,2.826710364604668,,17.929,1.045,0.93,-5.32,7.82,64.4574577194,预增,114.29,-12.421493370551309,3.0800821355235986,,0.82677,17145215089.84,
300233,金城医药,化学制药,,65.16,46.504982595,43.31186055323986,81.53066666666666,100.0,14.4,1.408,-1.2345679012345625,,120.0,1.485,1.57,64.87,3.948137201,34.611975633,预增,80.74,-10.570115513600795,11.282843894899552,,7.87805,5325338347.200001,
605020,永和股份,化学制品,,65.14,57.629141789650795,54.260032102728736,85.13066666666667,65.0,34.76,-0.201,7.449768160741876,,28.727,2.993,8.59,89.005063309798,28.159131347345,27.2127812574,预增,94.24,-28.166976648067788,2.901124925991705,89.005063309798,2.41424,17481637788.12,
