date,open,close,high,low,volume,指数
2026-01-27,14283.780,14329.910,14403.600,14105.130,909686276.000,深证成指
2026-01-28,14371.960,14342.890,14411.650,14234.890,883025460.000,深证成指
2026-01-29,14332.700,14300.080,14418.090,14252.200,993915564.000,深证成指
2026-01-30,14214.140,14205.890,14291.570,13923.950,902322925.000,深证成指
2026-02-02,14128.870,13824.350,14213.610,13815.280,811142364.000,深证成指
2026-02-03,13986.890,14127.110,14129.600,13815.230,782910934.000,深证成指
2026-02-04,14072.410,14156.270,14173.770,13958.080,815238780.000,深证成指
2026-02-05,14020.840,13952.710,14074.360,13874.020,726225381.000,深证成指
2026-02-06,13801.030,13906.730,14065.780,13726.860,730349548.000,深证成指
2026-02-09,14115.140,14208.440,14211.700,14060.670,726369602.000,深证成指
2026-02-10,14200.760,14210.630,14258.510,14165.430,733002884.000,深证成指
2026-02-11,14186.650,14160.930,14250.340,14156.160,681933201.000,深证成指
2026-02-12,14177.970,14283.000,14296.480,14177.290,696259702.000,深证成指
2026-02-13,14188.350,14100.190,14258.830,14092.840,640639616.000,深证成指
2026-02-24,14313.860,14291.570,14376.960,14214.410,712425990.000,深证成指
2026-02-25,14322.240,14475.870,14512.850,14314.150,793688511.000,深证成指
2026-02-26,14495.860,14503.790,14536.080,14408.880,793134075.000,深证成指
2026-02-27,14375.250,14495.090,14497.960,14366.350,781109596.000,深证成指
2026-03-02,14327.650,14465.790,14509.690,14285.670,933794647.000,深证成指
2026-03-03,14498.700,14022.390,14526.060,14007.650,970658945.000,深证成指
2026-03-04,13854.370,13917.750,14112.020,13854.370,740464019.000,深证成指
2026-03-05,14160.200,14088.840,14202.760,13999.700,758966477.000,深证成指
2026-03-06,14015.540,14172.630,14212.840,13969.340,729278913.000,深证成指
2026-03-09,13920.290,14067.500,14103.630,13701.670,837345656.000,深证成指
2026-03-10,14239.300,14354.070,14357.820,14239.300,736222902.000,深证成指
2026-03-11,14373.740,14465.410,14531.020,14373.010,770973777.000,深证成指
2026-03-12,14457.630,14374.870,14478.050,14245.770,768805142.000,深证成指
2026-03-13,14300.920,14280.780,14454.310,14245.960,774225691.000,深证成指
2026-03-16,14291.150,14307.580,14320.100,14097.820,753016186.000,深证成指
2026-03-17,14370.450,14039.730,14400.360,14039.500,753197038.000,深证成指
2026-03-18,14108.920,14187.800,14203.910,13944.370,666055598.000,深证成指
2026-03-19,14003.700,13901.570,14098.690,13852.600,679341018.000,深证成指
2026-03-20,14021.460,13866.200,14144.990,13856.490,734132051.000,深证成指
2026-03-23,13619.940,13345.510,13758.970,13274.180,852353152.000,深证成指
2026-03-24,13514.670,13536.560,13536.560,13169.250,731464361.000,深证成指
2026-03-25,13669.050,13801.000,13835.030,13666.840,723433703.000,深证成指
2026-03-26,13756.870,13606.440,13853.100,13573.120,667004907.000,深证成指
2026-03-27,13423.510,13760.370,13842.400,13419.310,630568985.000,深证成指
2026-03-30,13618.790,13726.190,13748.210,13536.560,653413030.000,深证成指
2026-03-31,13683.680,13478.060,13783.970,13478.060,664490771.000,深证成指
2026-04-01,13731.390,13706.520,13740.970,13603.790,655763382.000,深证成指
2026-04-02,13658.250,13486.940,13680.630,13418.500,636038710.000,深证成指
2026-04-03,13553.650,13352.900,13558.910,13345.610,586572227.000,深证成指
2026-04-07,13392.940,13400.410,13476.080,13305.510,540630597.000,深证成指
2026-04-08,13717.220,14042.500,14042.500,13694.910,748327010.000,深证成指
2026-04-09,13928.430,13996.270,14058.050,13891.480,653026389.000,深证成指
2026-04-10,14098.020,14309.470,14382.610,14095.880,668726169.000,深证成指
2026-04-13,14233.110,14407.860,14440.260,14233.110,623636577.000,深证成指
2026-04-14,14514.690,14639.950,14640.770,14463.930,683376964.000,深证成指
2026-04-15,14736.010,14498.450,14738.530,14440.210,697369584.000,深证成指
2026-04-16,14546.350,14796.330,14807.160,14522.860,686456018.000,深证成指
2026-04-17,14806.280,14885.420,14916.390,14787.870,695914499.000,深证成指
2026-04-20,14870.900,14966.750,15006.920,14845.970,723332086.000,深证成指
2026-04-21,14920.380,14982.140,15017.750,14774.080,701150038.000,深证成指
2026-04-22,14897.960,15177.290,15182.820,14897.960,698955593.000,深证成指
2026-04-23,15234.220,15043.450,15248.430,14934.680,761022818.000,深证成指
2026-04-24,14951.740,14940.300,15033.670,14795.220,709729439.000,深证成指
2026-04-27,14960.020,14995.750,15054.460,14919.220,709930001.000,深证成指
2026-04-28,14925.220,14830.460,14943.360,14772.460,723727547.000,深证成指
2026-04-29,14751.420,15120.920,15139.710,14751.420,736380398.000,深证成指
2026-04-30,15157.070,15107.550,15186.120,15044.860,737703743.000,深证成指
2026-05-06,15323.190,15459.620,15534.670,15254.990,826248677.000,深证成指
2026-05-07,15541.300,15641.890,15652.580,15439.480,844489884.000,深证成指
2026-05-08,15520.380,15563.800,15639.390,15466.840,826218480.000,深证成指
2026-05-11,15697.440,15899.300,15921.650,15622.330,911634859.000,深证成指
2026-05-12,15952.790,15824.920,15952.790,15711.270,847817149.000,深证成指
2026-05-13,15713.540,16089.750,16100.460,15713.540,827341429.000,深证成指
2026-05-14,16202.220,15745.740,16207.750,15745.740,873525492.000,深证成指
2026-05-15,15753.190,15561.370,15855.550,15447.400,849695631.000,深证成指
2026-05-18,15465.300,15530.230,15658.110,15419.040,738305604.000,深证成指
2026-05-19,15469.360,15569.910,15585.040,15221.350,731216529.000,深证成指
2026-05-20,15487.430,15569.980,15622.210,15426.380,726217958.000,深证成指
2026-05-21,15707.960,15247.270,15894.300,15232.600,878984174.000,深证成指
2026-05-22,15382.290,15597.300,15624.970,15295.570,763067278.000,深证成指
2026-05-25,15716.390,15856.610,15857.080,15547.160,781225873.000,深证成指
2026-05-26,15786.820,15876.160,15894.550,15662.160,823273532.000,深证成指
2026-05-27,15868.900,15736.470,16047.410,15656.650,815871163.000,深证成指
2026-05-28,15691.160,15861.890,15889.830,15504.790,747849432.000,深证成指
2026-05-29,15957.120,15575.130,15981.930,15492.840,848879728.000,深证成指
2026-06-01,15601.030,15340.360,15717.450,15316.020,760393033.000,深证成指
2026-06-02,15410.700,15591.130,15664.390,15203.800,737350307.000,深证成指
2026-06-03,15646.690,15704.710,15962.360,15542.660,792737877.000,深证成指
2026-06-04,15540.060,15661.570,15745.190,15517.940,718939421.000,深证成指
2026-06-05,15595.700,15314.700,15710.140,15243.510,818251186.000,深证成指
2026-06-08,14835.370,14821.190,15137.750,14681.640,788640863.000,深证成指
2026-06-09,14992.550,15268.710,15274.720,14846.550,718050679.000,深证成指
2026-06-10,15062.510,14954.100,15149.370,14817.110,710462329.000,深证成指
2026-06-11,14889.570,14851.980,15062.750,14706.090,669817686.000,深证成指
2026-06-12,15149.520,14963.410,15171.220,14943.430,792336423.000,深证成指
2026-06-15,15153.180,15531.110,15531.110,15055.950,757054683.000,深证成指
2026-06-16,15584.370,15675.250,15761.000,15537.500,754828802.000,深证成指
